uf,ano,tri,n,ncol,obj_ok,cid_col_presente,n_cid_principal_L732,filtro_consistente,base
AC,2020,1,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2020,2,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2020,3,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2020,4,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2021,1,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2021,2,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2021,3,2,62,TRUE,TRUE,2,TRUE,sia
AC,2021,4,3,62,TRUE,TRUE,3,TRUE,sia
AC,2022,1,3,62,TRUE,TRUE,3,TRUE,sia
AC,2022,2,1,62,TRUE,TRUE,1,TRUE,sia
AC,2022,3,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2022,4,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2023,1,0,62,TRUE,TRUE,NA,TRUE,sia
AC,2023,2,4,62,TRUE,TRUE,4,TRUE,sia
AC,2023,3,3,62,TRUE,TRUE,3,TRUE,sia
AC,2023,4,6,62,TRUE,TRUE,6,TRUE,sia
AC,2024,1,12,62,TRUE,TRUE,12,TRUE,sia
AC,2024,2,18,62,TRUE,TRUE,18,TRUE,sia
AC,2024,3,27,62,TRUE,TRUE,27,TRUE,sia
AC,2024,4,22,62,TRUE,TRUE,22,TRUE,sia
AC,2025,1,27,62,TRUE,TRUE,27,TRUE,sia
AC,2025,2,25,62,TRUE,TRUE,25,TRUE,sia
AC,2025,3,32,62,TRUE,TRUE,32,TRUE,sia
AC,2025,4,26,62,TRUE,TRUE,26,TRUE,sia
AL,2020,1,14,62,TRUE,TRUE,14,TRUE,sia
AL,2020,2,8,62,TRUE,TRUE,8,TRUE,sia
AL,2020,3,13,62,TRUE,TRUE,13,TRUE,sia
AL,2020,4,24,62,TRUE,TRUE,24,TRUE,sia
AL,2021,1,21,62,TRUE,TRUE,21,TRUE,sia
AL,2021,2,16,62,TRUE,TRUE,16,TRUE,sia
AL,2021,3,29,62,TRUE,TRUE,29,TRUE,sia
AL,2021,4,33,62,TRUE,TRUE,33,TRUE,sia
AL,2022,1,36,62,TRUE,TRUE,36,TRUE,sia
AL,2022,2,37,62,TRUE,TRUE,37,TRUE,sia
AL,2022,3,39,62,TRUE,TRUE,39,TRUE,sia
AL,2022,4,32,62,TRUE,TRUE,32,TRUE,sia
AL,2023,1,35,62,TRUE,TRUE,35,TRUE,sia
AL,2023,2,52,62,TRUE,TRUE,52,TRUE,sia
AL,2023,3,79,62,TRUE,TRUE,79,TRUE,sia
AL,2023,4,65,62,TRUE,TRUE,65,TRUE,sia
AL,2024,1,82,62,TRUE,TRUE,82,TRUE,sia
AL,2024,2,101,62,TRUE,TRUE,101,TRUE,sia
AL,2024,3,91,62,TRUE,TRUE,91,TRUE,sia
AL,2024,4,102,62,TRUE,TRUE,102,TRUE,sia
AL,2025,1,104,62,TRUE,TRUE,104,TRUE,sia
AL,2025,2,96,62,TRUE,TRUE,96,TRUE,sia
AL,2025,3,121,62,TRUE,TRUE,121,TRUE,sia
AL,2025,4,5,62,TRUE,TRUE,5,TRUE,sia
AP,2020,1,0,62,TRUE,TRUE,NA,TRUE,sia
AP,2020,2,0,62,TRUE,TRUE,NA,TRUE,sia
AP,2020,3,0,62,TRUE,TRUE,NA,TRUE,sia
AP,2020,4,0,62,TRUE,TRUE,NA,TRUE,sia
AP,2021,1,0,62,TRUE,TRUE,NA,TRUE,sia
AP,2021,2,2,62,TRUE,TRUE,2,TRUE,sia
AP,2021,3,4,62,TRUE,TRUE,4,TRUE,sia
AP,2021,4,6,62,TRUE,TRUE,6,TRUE,sia
AP,2022,1,3,62,TRUE,TRUE,3,TRUE,sia
AP,2022,2,2,62,TRUE,TRUE,2,TRUE,sia
AP,2022,3,3,62,TRUE,TRUE,3,TRUE,sia
AP,2022,4,8,62,TRUE,TRUE,8,TRUE,sia
AP,2023,1,6,62,TRUE,TRUE,6,TRUE,sia
AP,2023,2,11,62,TRUE,TRUE,11,TRUE,sia
AP,2023,3,4,62,TRUE,TRUE,4,TRUE,sia
AP,2023,4,9,62,TRUE,TRUE,9,TRUE,sia
AP,2024,1,13,62,TRUE,TRUE,13,TRUE,sia
AP,2024,2,24,62,TRUE,TRUE,24,TRUE,sia
AP,2024,3,11,62,TRUE,TRUE,11,TRUE,sia
AP,2024,4,28,62,TRUE,TRUE,28,TRUE,sia
AP,2025,1,31,62,TRUE,TRUE,31,TRUE,sia
AP,2025,2,8,62,TRUE,TRUE,8,TRUE,sia
AP,2025,3,43,62,TRUE,TRUE,43,TRUE,sia
AP,2025,4,19,62,TRUE,TRUE,19,TRUE,sia
AM,2020,1,5,62,TRUE,TRUE,5,TRUE,sia
AM,2020,2,6,62,TRUE,TRUE,6,TRUE,sia
AM,2020,3,9,62,TRUE,TRUE,9,TRUE,sia
AM,2020,4,6,62,TRUE,TRUE,6,TRUE,sia
AM,2021,1,14,62,TRUE,TRUE,14,TRUE,sia
AM,2021,2,14,62,TRUE,TRUE,14,TRUE,sia
AM,2021,3,23,62,TRUE,TRUE,23,TRUE,sia
AM,2021,4,25,62,TRUE,TRUE,25,TRUE,sia
AM,2022,1,31,62,TRUE,TRUE,31,TRUE,sia
AM,2022,2,30,62,TRUE,TRUE,30,TRUE,sia
AM,2022,3,35,62,TRUE,TRUE,35,TRUE,sia
AM,2022,4,39,62,TRUE,TRUE,39,TRUE,sia
AM,2023,1,32,62,TRUE,TRUE,32,TRUE,sia
AM,2023,2,47,62,TRUE,TRUE,47,TRUE,sia
AM,2023,3,53,62,TRUE,TRUE,53,TRUE,sia
AM,2023,4,58,62,TRUE,TRUE,58,TRUE,sia
AM,2024,1,55,62,TRUE,TRUE,55,TRUE,sia
AM,2024,2,76,62,TRUE,TRUE,76,TRUE,sia
AM,2024,3,84,62,TRUE,TRUE,84,TRUE,sia
AM,2024,4,105,62,TRUE,TRUE,105,TRUE,sia
AM,2025,1,82,62,TRUE,TRUE,82,TRUE,sia
AM,2025,2,104,62,TRUE,TRUE,104,TRUE,sia
AM,2025,3,125,62,TRUE,TRUE,125,TRUE,sia
AM,2025,4,99,62,TRUE,TRUE,99,TRUE,sia
BA,2020,1,16,62,TRUE,TRUE,16,TRUE,sia
BA,2020,2,7,62,TRUE,TRUE,7,TRUE,sia
BA,2020,3,18,62,TRUE,TRUE,18,TRUE,sia
BA,2020,4,37,62,TRUE,TRUE,37,TRUE,sia
BA,2021,1,34,62,TRUE,TRUE,34,TRUE,sia
BA,2021,2,57,62,TRUE,TRUE,57,TRUE,sia
BA,2021,3,88,62,TRUE,TRUE,88,TRUE,sia
BA,2021,4,91,62,TRUE,TRUE,91,TRUE,sia
BA,2022,1,112,62,TRUE,TRUE,112,TRUE,sia
BA,2022,2,126,62,TRUE,TRUE,126,TRUE,sia
BA,2022,3,141,62,TRUE,TRUE,141,TRUE,sia
BA,2022,4,125,62,TRUE,TRUE,125,TRUE,sia
BA,2023,1,174,62,TRUE,TRUE,174,TRUE,sia
BA,2023,2,197,62,TRUE,TRUE,197,TRUE,sia
BA,2023,3,128,62,TRUE,TRUE,128,TRUE,sia
BA,2023,4,303,62,TRUE,TRUE,303,TRUE,sia
BA,2024,1,228,62,TRUE,TRUE,228,TRUE,sia
BA,2024,2,246,62,TRUE,TRUE,246,TRUE,sia
BA,2024,3,273,62,TRUE,TRUE,273,TRUE,sia
BA,2024,4,315,62,TRUE,TRUE,315,TRUE,sia
BA,2025,1,353,62,TRUE,TRUE,353,TRUE,sia
BA,2025,2,351,62,TRUE,TRUE,351,TRUE,sia
BA,2025,3,379,62,TRUE,TRUE,379,TRUE,sia
BA,2025,4,331,62,TRUE,TRUE,331,TRUE,sia
